,x,z,IC
0,0,0,2.727935303882444
1,0,1,1.5470804917676397
2,0,2,1.7269113304744548
3,0,3,1.8008742972957208
4,0,4,3.0483348164726705
5,0,5,3.0607190929013726
6,0,6,3.1933457761755784
7,0,7,3.333973086645132
8,0,8,3.4137495146198416
9,0,9,3.458365012929659
10,0,10,3.397043911054736
11,0,11,2.2792954131718135
12,0,12,2.3019923724008953
13,0,13,2.3078150908655317
14,0,14,2.3043602567194417
15,0,15,2.2027664207307014
16,0,16,2.3699788370978165
17,0,17,2.3714898289789184
18,0,18,2.3794889739426486
19,0,19,2.3940078568825567
20,0,20,2.3512921219145446
21,0,21,2.3406686508534906
22,0,22,2.406046586635552
23,0,23,2.3206265073538064
24,0,24,2.317463205840607
25,0,25,2.3992579941054704
26,0,26,2.459964499616647
27,0,27,2.4527948468594913
28,0,28,2.3882156258213696
29,0,29,2.29388503925905
30,0,30,2.3434081428241367
31,0,31,2.4133753614504316
32,1,0,2.7258029336876417
33,1,1,1.544163825472684
34,1,2,1.720414460874579
35,1,3,1.7946729334853788
36,1,4,3.0539331701957573
37,1,5,3.0584685948474
38,1,6,3.186448561034941
39,1,7,3.3304033776479542
40,1,8,3.4129046098435323
41,1,9,3.457823490654275
42,1,10,3.3920982055781517
43,1,11,2.292800561192933
44,1,12,2.302210444303749
45,1,13,2.3039194585825866
46,1,14,2.3022486777506375
47,1,15,2.2035661093330936
48,1,16,2.3682303307077617
49,1,17,2.3648313172656454
50,1,18,2.3844786919874696
51,1,19,2.387936469743144
52,1,20,2.368359080627298
53,1,21,2.321669781583054
54,1,22,2.4117345255107243
55,1,23,2.3210429808727806
56,1,24,2.2997265038575287
57,1,25,2.411314318965025
58,1,26,2.4466379107022904
59,1,27,2.469791120154495
60,1,28,2.3790331090369117
61,1,29,2.295673518679543
62,1,30,2.3473025694955485
63,1,31,2.4161473315790705
64,2,0,2.723768729816347
65,2,1,1.5420404581962839
66,2,2,1.7140984312814938
67,2,3,1.7887193510538633
68,2,4,3.0598690358917917
69,2,5,3.0568223811100568
70,2,6,3.1795691449042804
71,2,7,3.3265251634782746
72,2,8,3.4119374819430024
73,2,9,3.4571310234997585
74,2,10,3.3870117780149096
75,2,11,2.305503947680623
76,2,12,2.3002889396553456
77,2,13,2.3023846292253793
78,2,14,2.301258501441774
79,2,15,2.209200607526927
80,2,16,2.3637225098221424
81,2,17,2.3577220997627633
82,2,18,2.3887004455946346
83,2,19,2.383134659750941
84,2,20,2.3828042200548305
85,2,21,2.300829162257739
86,2,22,2.41276585009328
87,2,23,2.322448740660239
88,2,24,2.28846083880663
89,2,25,2.4254694155240974
90,2,26,2.431777217660421
91,2,27,2.4844953444398916
92,2,28,2.3706296722983176
93,2,29,2.300166539316129
94,2,30,2.3508478132730954
95,2,31,2.417727810788011
96,3,0,2.721885914958705
97,3,1,1.5406941742219733
98,3,2,1.7079621957995363
99,3,3,1.783054747674119
100,3,4,3.066096054706463
101,3,5,3.0557962674216443
102,3,6,3.172751838858946
103,3,7,3.3223399922785726
104,3,8,3.4108383950682564
105,3,9,3.4562984725218717
106,3,10,3.3818178385785944
107,3,11,2.3173154606880457
108,3,12,2.296422618686069
109,3,13,2.3032189009159425
110,3,14,2.301501518064763
111,3,15,2.2188948779722533
112,3,16,2.3562541794783383
113,3,17,2.3503158499266035
114,3,18,2.391548372333729
115,3,19,2.3792193222516795
116,3,20,2.3942765549796627
117,3,21,2.2793830010155434
118,3,22,2.409564424906703
119,3,23,2.3255735381120064
120,3,24,2.284411064589123
121,3,25,2.440551341650017
122,3,26,2.4158119417915174
123,3,27,2.4960228376914544
124,3,28,2.363648654767646
