depth,B0,B12,A0,A1,A2,A3,B9,B13,A4,A5,A6,A7,A8,A9,B21,B3,B5,A10,A11,A12,A13,A14,A15,B1,B4,A16,A17,A18,A19,B2,B6,A20,B14,B15,B16,B17,B18,B19,B20,B22,A21,A22,A23,A24,B10,B7,A25,A26,B11,B8,A27,A28,A29,B23
0.0,1.2994053499385028,1.2641273077233666,1.519995538198387,1.2956942818074806,1.5418820824161754,1.4736355140793582,1.1614800673471488,1.1450225006154073,1.3198345564197307,1.2897202983292728,1.3576755780773773,1.3331326402450545,1.3795163800998416,1.5301379653404752,1.269102027720983,1.247828635406934,1.1076050070535306,1.2303888337284266,1.4379715883833295,1.5525449249452417,1.336446941666156,1.3577598273468865,1.3693077074062945,1.2737855759979118,1.2103037654764337,1.430394821491936,1.1483875239831127,1.5591165184408275,1.4910907683212917,1.4011927005097542,1.1631049337436539,1.5915471496777178,1.8185776110980525,1.8451432160466648,1.7144494055268664,1.822717178893588,1.8223746907906089,1.6261784400635693,1.5899783124494016,1.765484839145795,1.71828753504775,1.821585792548172,1.7429424441958359,1.6087695828603485,1.099763414191636,1.2255276869077738,1.2858381937951653,1.4788354439887665,1.3877228910966015,1.4830177261219852,1.3002549708697628,1.6619405040582471,1.5090857778480526,1.6074190312189627
1.0,2.5453449858262944,2.7505714746778285,2.490253456591783,2.443433620415838,1.3906142441084792,1.3407392498990014,1.3612246866518876,1.2687609217993414,1.4412989628422483,1.5492486690159633,1.3588204439374076,1.3328670546548211,1.6331873030276003,1.754240536781155,2.163441685533548,1.7975805002664187,1.910078376892089,1.3688898278092105,1.4493846989838193,1.4557664221564925,1.5608018034458786,1.3195314916672072,1.9627645956035709,1.2607183687189054,1.4085761951833005,1.4767009363325574,1.260862648488756,2.343955009232346,1.72342722950749,1.5744338220597005,1.5076647963939669,1.750904865537338,1.8720476738256115,1.8897566578409437,1.7615231947635461,1.8763291371219961,1.8734823197833423,1.664583864768962,1.6294068411635085,1.8115334134355339,1.8247437674128895,2.1119526879770043,2.328421328811143,1.8427226686161222,1.3922887926499286,1.4707042182051775,1.6781865028461536,1.333416999764373,1.37023452688776,1.2341290402271852,1.9008617598803317,1.3639974156043322,1.3847241451577952,1.656987462072108
2.0,3.3792006174790035,3.220861518446139,3.249144587274759,3.189453563728674,2.733961083799572,2.189413195895807,2.8047652289663207,2.72766603808328,2.683325048653536,2.666240842177948,2.3091169954011095,2.591660378009273,3.195793041099673,3.1928622650955276,3.159509631629675,3.1924878787041866,3.2550077320295756,2.451080584378271,2.104431667897652,2.4980067382627507,3.090973770738912,2.136352841305602,3.248895453660389,2.3538932018645196,2.8965585323181995,2.8547200239372805,1.5102407428131503,2.9985328150967825,1.9488257665471742,1.9380227088483202,1.8378881177887425,1.9829005797838368,1.9320382997850882,1.9394262667436637,1.8141515819861427,1.9360716777373697,1.9304668429688907,1.707852897543013,1.6727631967920138,1.8624030966980698,2.048942381404604,2.3270747245453425,3.6753052512221447,3.2205265855551346,1.7395328753839545,1.8125990871880817,3.274289205579219,2.0633460707373867,2.8700473756810303,2.1606360309145987,3.1904284399614316,2.221126203837347,1.9899600873751657,1.285275105573982
3.0,3.531773708402925,3.5274766767367094,3.5753643133575275,3.4819363163318755,3.2823373322815583,3.3846672310315222,3.409989776192253,3.3727823393597096,3.4681145874342603,3.382150019787589,3.549405570769479,3.392521473667349,3.557140246065829,3.5154091587905385,3.4431233004085042,3.6199645255465827,3.606229642486097,3.585748212427431,3.3826213824395155,3.62276245672368,3.6435739710414317,3.4927417260568423,3.4964202958746093,3.4591790071614987,3.5536783432012062,3.651413978034827,1.8628950589400475,3.22662141324288,2.2428356215348773,2.116624195895211,2.5334358734032185,2.219606698499342,2.030338776111738,1.9766823819804609,1.944370139676253,2.031220521279188,1.9651247727857908,1.8298807033440512,1.7777808207872856,1.8746554439333905,2.4357625729050927,2.7464545988798417,3.7411612443650157,3.6836328709788844,2.7772358919588482,2.3150296286989245,3.9261265658231896,3.4987849244883464,3.558475405223797,3.565415048452817,3.4141778864196244,3.4136784486635774,3.191766875102288,1.6489961708427714
4.0,3.508965021927126,3.779352261536982,3.60617190610577,3.535916487018381,3.5542546520822107,3.571039947571258,3.7371115485417374,3.7242195780460623,3.745877517566959,3.858392557095951,3.6725823676763527,3.6500672596329644,3.5903729074227755,3.7826428787056052,3.78340169279056,3.741541056693138,3.661293521156401,3.842640167588998,3.7351205285701115,3.6176466918428463,3.0381929987034897,3.558166586466458,3.64598762424708,3.7737967800684813,3.709685609439634,3.5384196784127515,2.434147457722739,3.1826570288174807,2.3998988176319,2.38798427908496,2.6320324786872416,2.54093993933201,2.3637914459963,2.4651443987782327,2.3655385095515737,2.3573426894335747,2.243908814985325,2.4305549337109724,2.494462263211243,2.320652008031117,3.506100351652297,3.4871747322716695,3.7091875816057724,3.616238127541333,3.666741199398223,3.667646249940855,3.8509727433280223,3.5237094442200685,3.520649344649405,3.429147177940737,3.676577529781932,3.665035213798826,3.4706275228309784,2.651694049772953
5.0,2.9905796685580923,3.0250782428548146,3.5517582225713453,3.3802590773643097,3.5610289264683117,3.866575650068427,3.6975868247524804,3.349612847443333,3.4369005014553555,3.9119024622312484,3.8807835616374478,3.505968110091812,2.990312093496132,3.3221380713420134,3.1325100378087867,2.9718292829221795,2.977328950206524,3.894793629107925,3.9815280136494584,3.3829537983953646,3.1087550828191257,3.5662009821085667,3.5881534397219106,3.370401967524864,3.5695557158671543,3.1105852309389648,3.4958255818139534,2.983435845716749,2.636313653123529,3.5379095325138556,3.3145813002983684,3.4430283773932167,2.8625994898226277,2.8478391722971668,3.064218185431734,2.910005600871307,2.901621635657896,3.1346640641580343,3.1486474274433864,2.8594169068838577,3.669957779698083,3.38302977796953,3.602706544711113,3.736482082099482,3.5541417228088106,3.743796119528267,3.617237388061532,3.5450652704682644,3.504807735351471,3.7018442286858493,3.7389545402312616,3.5941407257045053,3.577698374860787,3.511787799931263
6.0,3.3687855322053175,3.5957216995723966,3.636199857736036,3.5964486949033514,3.4951019703831814,3.8864983608741586,3.9165320264388104,3.4095464791384416,3.689374016446656,3.7840172394596765,3.5252686033211744,3.456168019691923,3.415767441375698,2.6229403735860712,2.68445131099277,2.515144232132878,2.1621488663798596,3.5485062094625226,3.537546038417748,3.120663797853529,3.376674011813829,3.672040129329487,3.618823747685677,3.0585113582335985,3.317740762196433,3.447346987479856,3.6510848475756186,3.284212157311839,2.740094740871648,3.5389036186458536,3.4052068420990294,3.630153141712835,3.396311407652747,3.3939229587034387,3.3986067115928096,3.423020396950835,3.4535691082500186,3.3817189077539713,3.4007009076367947,3.4600460831539266,3.4559766824587475,3.515362116906689,3.6180719378522515,3.70797822808918,3.5682644814117324,3.707683557283366,3.5806369692518754,3.608786314064309,3.4888304959004772,3.596883897569602,3.4757124419966576,3.7114385260778717,3.6237821042185314,3.5541572646615283
7.0,3.40693051568528,3.5456480436147926,3.6476405429580576,3.619226869302596,3.0136203242000357,3.681667040368351,3.647306780559027,3.2569762263103312,3.665542778680289,3.667548905992849,3.6096870478624865,3.5336496789476985,3.595437409806495,2.299267818940115,2.5091301665111616,2.2333752987894617,2.17650732883442,3.1742889157786487,2.96181280050572,3.519395922971933,3.6532899913334473,3.6985489412507104,3.275602200959203,2.665523742298195,2.8820930438646233,3.59744491774883,3.7356598248262443,3.5464920474013457,2.6644515810458484,3.372476581771917,3.305965761375605,3.4609455569770304,0.0,0.0,0.0,3.3655207303343206,3.2956880155810837,3.3181622037276317,3.2724906494540265,3.440355450231523,3.627347540513278,3.6109563893722245,3.2868591830278575,3.6803244120057035,3.6378902401432387,3.820618205123096,3.577950763170759,3.6857962436126916,3.030795637601857,3.158414069246857,2.798918780708971,3.7084097709447534,3.5244208404876556,3.630825340913713
8.0,2.6634039310020574,2.6743477873927786,3.6950793675384115,3.5493657750638503,2.4185168348911184,3.3942486855331455,2.94020179644687,2.813864724913702,2.8786106596878613,3.1186105310963055,3.574069326802705,3.3454462347946654,3.224732563655363,2.427191377765887,2.331921241531174,2.338651075854263,2.542563516429649,3.354954421390805,2.902106985628663,3.667959877722094,3.7738914385275213,3.73151292331006,2.6842808489090855,2.185708505450192,2.566453130570722,3.6324672661369704,3.8767252393389997,3.618313117310969,2.6242092083206328,3.4746984693794065,3.4408323769945364,3.541730853719317,0.0,0.0,0.0,0.0,3.4909689053349395,0.0,3.463368397190828,3.5435995757352745,3.752338640096539,3.5875118564754573,3.5445954098221684,3.61317871088356,3.6624719917297823,3.8405629402116523,3.5403817796918977,3.6872891759442696,2.6738851364941687,2.6453432393175214,2.4709691460849617,3.7437781470938574,3.122664892234558,3.6337298506016946
9.0,2.3041303166284695,2.404640155858049,2.8245480498233424,3.176304239648877,3.1455539901251726,3.109611150373568,2.63424631476218,2.57425736640931,2.806375793753983,2.7942223678418103,3.4524160286439836,3.1570502663210704,3.13635701496864,2.5246223201808378,2.506751880903831,2.432095959244965,2.38135953992133,3.109528394394395,3.043663627308206,3.662622266022039,3.615399922782904,3.4982282140545844,2.3954707259046804,2.209790036694697,2.5824241499647855,3.524445393267175,3.6874423360581625,3.6667039035626843,2.7024246136113663,3.723981467340273,3.4801274908623117,3.5965197435373826,0.0,0.0,0.0,0.0,3.512162925699502,0.0,3.466169732345795,3.5641973815262764,3.605998719092524,3.5259223378769713,3.5885341777340636,3.5578625952688996,3.6598878192009368,3.822976975100001,3.5361082540827105,3.594283066418453,2.717560799288477,2.648843660267049,2.6484095208373835,3.705178769406835,3.5349961515704234,3.566054828975517
10.0,1.9721810388013719,2.279952489352124,2.2123166180411338,3.231831892841182,2.669535469195449,3.0494270321292802,1.9605899465432621,1.9317933340675755,2.2339795148672104,2.5652431935870075,3.4044651452959402,3.323866983835222,3.315064927566797,2.88310408649683,2.91533226508451,3.001752923316448,2.6668304929910795,3.166874192223316,3.272731111797582,3.722207400841862,3.6330454640452596,3.7324285740548664,2.630662269567601,2.8324783733490793,2.860686258585815,3.5802409524939494,3.70255649830762,3.7288016740554064,2.7336075871323797,3.849643206956195,3.5527933132235936,3.6540476865435587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5687655223014176,3.6662126854234423,3.45157661872735,3.6468363121254455,3.6435896142193682,3.604537886254244,3.816067024207811,3.5364654106179216,3.604059237328209,2.708745211593431,2.7253260692762113,2.7949409930513602,3.732200387379009,3.6087974569716392,3.4761752153988743
