depth,B0,B12,A0,A1,A2,A3,B9,B13,A4,A5,A6,A7,A8,A9,B21,B3,B5,A10,A11,A12,A13,A14,A15,B1,B4,A16,A17,A18,A19,B2,B6,A20,B14,B15,B16,B17,B18,B19,B20,B22,A21,A22,A23,A24,B10,B7,A25,A26,B11,B8,A27,A28,A29,B23
0.0,1.303448275862069,1.3051724137931036,1.5320689655172415,1.311034482758621,1.5655172413793104,1.4903448275862068,1.1765517241379309,1.1624137931034484,1.336896551724138,1.2944827586206897,1.3789655172413793,1.349655172413793,1.3834482758620692,1.5424137931034485,1.286206896551724,1.263793103448276,1.1279310344827587,1.2437931034482759,1.446551724137931,1.5682758620689654,1.3448275862068966,1.3689655172413795,1.3717241379310345,1.2817241379310345,1.213793103448276,1.4386206896551723,1.1810344827586208,1.5596551724137933,1.4941379310344827,1.4020689655172414,1.1637931034482758,1.5924137931034483,1.8186206896551724,1.8451724137931036,1.7144827586206897,1.822758620689655,1.8224137931034483,1.626206896551724,1.59,1.7655172413793105,1.7200000000000002,1.8224137931034483,1.7437931034482759,1.609655172413793,1.1027586206896551,1.2286206896551726,1.2886206896551724,1.4955172413793103,1.4244827586206896,1.4986206896551724,1.303793103448276,1.7013793103448274,1.5117241379310347,1.6089655172413793
1.0,2.580892857142857,2.761607142857143,2.521785714285714,2.4960714285714287,1.4044642857142857,1.3435714285714284,1.3776785714285715,1.2919642857142857,1.4575,1.554107142857143,1.3632142857142857,1.3530357142857141,1.664642857142857,1.8160714285714286,2.261607142857143,1.8596428571428572,2.0235714285714286,1.3867857142857143,1.4544642857142858,1.4623214285714285,1.5757142857142856,1.3367857142857142,2.0376785714285712,1.2744642857142858,1.4169642857142857,1.4858928571428571,1.2675,2.3992857142857145,1.7280357142857141,1.5758928571428572,1.5119642857142856,1.7521428571428572,1.872142857142857,1.8898214285714285,1.761607142857143,1.8764285714285713,1.8735714285714287,1.664642857142857,1.6294642857142858,1.811607142857143,1.8267857142857142,2.1160714285714284,2.3757142857142854,1.8516071428571428,1.3951785714285714,1.4751785714285715,1.6853571428571428,1.3389285714285715,1.3930357142857144,1.2405357142857143,1.9241071428571428,1.3667857142857145,1.3891071428571429,1.6582142857142856
2.0,3.386842105263158,3.2259649122807015,3.2542105263157897,3.1912280701754385,2.8012280701754384,2.267543859649123,2.8719298245614033,2.7843859649122806,2.7512280701754386,2.7287719298245614,2.4052631578947365,2.669649122807017,3.2035087719298243,3.2001754385964913,3.162982456140351,3.1975438596491226,3.2589473684210524,2.5389473684210526,2.165438596491228,2.591754385964912,3.121578947368421,2.2177192982456138,3.2503508771929828,2.4259649122807017,2.93140350877193,2.9350877192982456,1.5168421052631578,3.013684210526316,1.9496491228070174,1.9419298245614034,1.8419298245614035,1.984561403508772,1.9321052631578945,1.9394736842105262,1.8142105263157895,1.936140350877193,1.9305263157894736,1.7078947368421051,1.6728070175438596,1.862456140350877,2.0538596491228067,2.3275438596491225,3.677368421052632,3.2792982456140347,1.7443859649122808,1.8163157894736843,3.3066666666666666,2.108245614035088,2.9301754385964913,2.228421052631579,3.2212280701754388,2.2733333333333334,2.0035087719298246,1.2998245614035089
3.0,3.5335714285714284,3.5283928571428573,3.575714285714286,3.4830357142857147,3.2839285714285715,3.386071428571429,3.414285714285714,3.374821428571429,3.4710714285714284,3.3851785714285714,3.552857142857143,3.3994642857142856,3.5603571428571428,3.523214285714286,3.4442857142857144,3.620357142857143,3.606785714285714,3.5869642857142856,3.3851785714285714,3.626785714285714,3.648214285714286,3.4948214285714285,3.4969642857142857,3.4610714285714286,3.557142857142857,3.6551785714285714,1.8664285714285713,3.2326785714285715,2.245,2.116964285714286,2.5716071428571428,2.220357142857143,2.031428571428571,1.977142857142857,1.9475,2.032142857142857,1.9655357142857142,1.8335714285714284,1.7816071428571427,1.8753571428571427,2.4473214285714286,2.7719642857142857,3.7435714285714288,3.6880357142857143,2.839642857142857,2.3216071428571428,3.9282142857142857,3.499642857142857,3.5594642857142857,3.5669642857142856,3.417142857142857,3.416607142857143,3.239642857142857,1.6541071428571428
4.0,3.5103508771929826,3.7796491228070175,3.606842105263158,3.536140350877193,3.5547368421052634,3.5733333333333333,3.7387719298245616,3.725263157894737,3.7463157894736843,3.8619298245614035,3.6757894736842105,3.6503508771929822,3.590877192982456,3.783157894736842,3.7857894736842104,3.742982456140351,3.6628070175438596,3.8438596491228068,3.737017543859649,3.618245614035088,3.055263157894737,3.5701754385964914,3.646315789473684,3.7756140350877194,3.71140350877193,3.5466666666666664,2.444736842105263,3.198245614035088,2.400526315789474,2.393157894736842,2.6328070175438594,2.547894736842105,2.3649122807017546,2.468771929824561,2.3671929824561406,2.35859649122807,2.248421052631579,2.434912280701754,2.4971929824561405,2.3266666666666667,3.531228070175439,3.4873684210526315,3.710526315789474,3.6192982456140355,3.668245614035088,3.679122807017544,3.85140350877193,3.526666666666667,3.5212280701754386,3.4326315789473685,3.677368421052632,3.6671929824561404,3.4721052631578946,2.762982456140351
5.0,3.0026785714285715,3.065714285714286,3.55375,3.3858928571428573,3.5614285714285714,3.8676785714285713,3.7035714285714287,3.3578571428571427,3.4498214285714286,3.912857142857143,3.883035714285714,3.523214285714286,3.007857142857143,3.330357142857143,3.14125,2.976785714285714,2.9848214285714287,3.8957142857142855,3.981964285714286,3.395,3.1175,3.568392857142857,3.589107142857143,3.380714285714286,3.5739285714285716,3.1144642857142855,3.496785714285714,2.9907142857142857,2.638035714285714,3.5582142857142856,3.336607142857143,3.4642857142857144,2.8908928571428567,2.8666071428571427,3.0901785714285714,2.940892857142857,2.932142857142857,3.1525,3.1689285714285718,2.887857142857143,3.6705357142857147,3.3873214285714286,3.613392857142857,3.736607142857143,3.555357142857143,3.744642857142857,3.6176785714285713,3.5455357142857147,3.505714285714286,3.7033928571428576,3.7407142857142857,3.5944642857142854,3.5782142857142856,3.513214285714286
6.0,3.3691071428571426,3.5960714285714284,3.6369642857142854,3.5982142857142856,3.4989285714285714,3.888035714285714,3.917857142857143,3.4098214285714286,3.691071428571429,3.7903571428571428,3.5357142857142856,3.470357142857143,3.420714285714286,2.6469642857142857,2.6900000000000004,2.5275,2.1671428571428573,3.5539285714285715,3.550892857142857,3.123571428571428,3.3985714285714286,3.672678571428571,3.6189285714285715,3.065714285714286,3.3226785714285714,3.4512500000000004,3.6533928571428573,3.294285714285714,2.7414285714285715,3.5394642857142857,3.4057142857142857,3.6314285714285717,3.396607142857143,3.3960714285714286,3.399107142857143,3.4239285714285717,3.4544642857142853,3.3825,3.40125,3.460892857142857,3.4614285714285713,3.51625,3.6223214285714285,3.708392857142857,3.569107142857143,3.7085714285714286,3.580714285714286,3.6089285714285713,3.4923214285714286,3.6025,3.4807142857142854,3.711607142857143,3.6242857142857146,3.5548214285714286
7.0,3.4071929824561407,3.5464912280701757,3.6480701754385962,3.619473684210526,3.0473684210526315,3.682982456140351,3.6536842105263156,3.2640350877192983,3.666491228070176,3.668421052631579,3.6098245614035087,3.5350877192982457,3.5956140350877193,2.3064912280701755,2.5142105263157895,2.2349122807017543,2.1785964912280704,3.183859649122807,2.9796491228070177,3.5217543859649125,3.6536842105263156,3.699122807017544,3.2787719298245612,2.6726315789473687,2.888421052631579,3.5980701754385964,3.7371929824561407,3.5471929824561403,2.6647368421052633,3.375263157894737,3.3078947368421057,3.4624561403508776,0.7156140350877193,0.6878947368421052,0.6378947368421053,3.367719298245614,3.300175438596491,3.3210526315789477,3.2787719298245612,3.4426315789473683,3.627719298245614,3.6114035087719296,3.294035087719298,3.6805263157894736,3.6382456140350876,3.821578947368421,3.578245614035088,3.6859649122807014,3.0343859649122806,3.162105263157895,2.822456140350877,3.7087719298245614,3.5292982456140347,3.63140350877193
8.0,2.7110714285714286,2.7478571428571428,3.6951785714285714,3.55125,2.4200000000000004,3.3955357142857143,2.9475000000000002,2.8249999999999997,2.8923214285714285,3.135357142857143,3.5742857142857143,3.3519642857142857,3.240535714285714,2.42875,2.3367857142857145,2.3392857142857144,2.555,3.36,2.925892857142857,3.6683928571428575,3.774107142857143,3.731964285714286,2.6880357142857143,2.1903571428571427,2.576964285714286,3.632857142857143,3.878392857142857,3.6185714285714283,2.625,3.4755357142857144,3.441607142857143,3.5419642857142857,0.0,0.0,0.0,0.2505357142857143,3.4926785714285713,0.22714285714285712,3.4639285714285712,3.544464285714286,3.7526785714285715,3.5878571428571426,3.5448214285714283,3.61375,3.662857142857143,3.841964285714286,3.5405357142857143,3.687321428571429,2.69,2.659642857142857,2.4726785714285713,3.7441071428571426,3.13625,3.6341071428571428
9.0,2.307017543859649,2.408245614035088,2.8426315789473686,3.1821052631578945,3.168245614035088,3.122280701754386,2.643859649122807,2.5866666666666664,2.8354385964912283,2.8073684210526317,3.4591228070175437,3.1628070175438596,3.141578947368421,2.5305263157894737,2.511578947368421,2.433333333333333,2.3859649122807016,3.128421052631579,3.0510526315789472,3.664385964912281,3.6156140350877193,3.4996491228070172,2.3978947368421055,2.225614035087719,2.602280701754386,3.531578947368421,3.690701754385965,3.6670175438596493,2.7050877192982457,3.7250877192982457,3.480526315789474,3.597017543859649,0.0,0.0,0.0,0.0,3.5126315789473685,0.0,3.4673684210526314,3.564561403508772,3.6064912280701753,3.526666666666667,3.5887719298245613,3.5587719298245615,3.66,3.823157894736842,3.536140350877193,3.594561403508772,2.725438596491228,2.6596491228070174,2.6519298245614036,3.705263157894737,3.5363157894736843,3.566140350877193
