cpt_name,x,y
CPT000000161241,200900.5,391306.5
CPT000000161242,201543.6,390819.0
CPT000000161243,201466.5,390876.7
CPT000000161244,201224.3,391060.4
CPT000000161245,201702.8,390698.2
CPT000000161247,202256.6,390279.9
CPT000000161248,199270.9,392551.6
CPT000000161249,199145.1,392638.4
CPT000000161251,202602.7,390004.9
CPT000000161252,200586.0,391545.4
CPT000000161253,202023.8,390455.4
CPT000000161255,201145.1,391121.5
CPT000000161256,200427.3,391666.6
CPT000000161259,198994.2,392755.5
CPT000000161263,200187.0,391849.1
CPT000000161264,199866.7,392088.7
CPT000000161266,200505.6,391608.2
CPT000000161271,199467.2,392391.6
CPT000000161274,199305.1,392517.5
CPT000000161276,201385.7,390938.0
CPT000000161278,199388.9,392450.5
CPT000000161279,200027.7,391971.7
CPT000000161280,199217.3,392580.1
CPT000000161282,200824.7,391364.1
CPT000000161283,202501.0,390082.6
CPT000000161284,200665.7,391484.7
CPT000000161285,200983.9,391243.0
CPT000000161288,199627.1,392271.1
CPT000000161289,201944.0,390515.8
CPT000000161290,201864.1,390576.2
CPT000000161291,199785.0,392150.9
CPT000000161293,201304.4,391000.9
CPT000000161294,199946.4,392032.6
CPT000000161298,200105.6,391910.7
CPT000000161299,200343.7,391728.1
CPT000000161300,199064.7,392699.1
CPT000000161301,202101.3,390396.5
CPT000000161302,202181.4,390336.8
CPT000000161304,199706.0,392211.6
CPT000000161310,201063.1,391182.5
CPT000000161311,200742.7,391426.3
CPT000000161312,200264.9,391788.5
CPT000000161314,202276.7,390248.1
CPT000000161315,200456.2,391629.2
CPT000000161316,201781.5,390639.0
CPT000000161317,199546.6,392333.1
CPT000000161318,201623.4,390758.2
CPT000000161319,198948.0,392789.0
CPT000000161322,202396.6,390160.7
