cpt_name,x,y
CPT000000207200,256407.292,560131.089
CPT000000207202,255972.37,560450.41
CPT000000207203,255426.57,560995.49
CPT000000207204,254909.554,561519.983
CPT000000207205,254431.76,562002.17
CPT000000207207,253850.17,562592.99
CPT000000228091,253688.79,562758.449
CPT000000228096,257624.159,559078.997
CPT000000228097,257975.873,558723.984
CPT000000228098,254951.617,561476.048
CPT000000228099,256094.502,560357.671
CPT000000228100,254531.416,561902.472
CPT000000228101,254039.824,562402.058
CPT000000228102,256336.377,560181.514
CPT000000228106,257342.546,559363.207
CPT000000228107,254179.558,562260.001
CPT000000228108,258186.907,558510.592
CPT000000228112,258116.652,558581.851
CPT000000228113,256741.005,559887.204
CPT000000228114,257131.375,559576.715
CPT000000228116,256498.22,560063.677
CPT000000228117,255723.935,560692.002
CPT000000228118,257904.976,558795.624
CPT000000228121,257553.688,559150.153
CPT000000228122,254811.689,561618.107
CPT000000228123,257694.243,559008.141
CPT000000228127,257835.178,558865.552
CPT000000228128,256659.81,559945.962
CPT000000228132,255513.176,560905.746
CPT000000228135,258468.131,558226.518
CPT000000228140,256174.613,560299.269
CPT000000228141,256255.491,560240.431
CPT000000228143,257412.944,559292.317
CPT000000228144,255302.616,561119.521
CPT000000228145,253406.531,563044.973
CPT000000228146,258262.216,558434.73
CPT000000228148,254390.566,562045.623
CPT000000228151,253618.017,562830.25
CPT000000228152,254320.321,562116.827
CPT000000228155,257483.154,559221.106
CPT000000228158,256010.576,560419.048
CPT000000228159,256578.378,560005.129
CPT000000228160,255583.336,560834.498
CPT000000228162,258046.069,558652.968
CPT000000228166,254601.183,561831.958
CPT000000228167,258398.065,558297.411
CPT000000228169,255794.45,560620.201
CPT000000228171,257059.983,559647.859
CPT000000228172,253969.542,562473.262
CPT000000228174,256902.318,559769.643
CPT000000228175,254250.363,562188.129
CPT000000228176,257201.386,559506.125
CPT000000228177,255162.219,561262.007
CPT000000228178,255092.016,561333.534
CPT000000228179,254671.401,561760.557
CPT000000228181,258321.289,558374.829
CPT000000228183,255653.279,560763.565
CPT000000228184,253899.486,562544.737
CPT000000228186,258598.468,558068.329
CPT000000228187,253759.012,562687.07
CPT000000228189,253127.751,563328.185
CPT000000228190,254460.791,561974.32
CPT000000228191,254110.024,562330.853
CPT000000228192,258534.137,558150.442
CPT000000228193,255935.648,560480.536
CPT000000228195,253062.682,563404.595
CPT000000228196,253478.335,562972.211
CPT000000228198,255232.41,561190.795
CPT000000228200,254881.283,561547.197
CPT000000228201,255372.754,561048.316
CPT000000228208,253548.388,562900.906
CPT000000228209,254741.532,561689.356
CPT000000228211,253267.587,563186.093
CPT000000228213,255864.38,560549.521
CPT000000228214,253829.135,562615.875
CPT000000228216,255021.809,561404.688
CPT000000228218,255442.96,560976.981
CPT000000228221,257764.499,558936.84
CPT000000228222,253197.367,563257.261
CPT000000228225,256821.471,559828.321
CPT000000228226,256983.374,559710.721
