x;y;label
85256.9332;443694.6428;1
85317.5736;443503.0223;1
85498.479;442928.8397;1
85559.0197;442736.6265;1
85712.1204;442265.2594;1
85739.3448;442165.0888;1
85773.6389;442070.5626;1
85799.5791;441974.0474;1
85833.7114;441879.5509;1
85893.8864;441688.9383;1
85954.2601;441498.3021;1
85980.0083;441403.1996;1
86014.4414;441308.0748;1
86041.828;441207.8571;1
86074.8646;441116.9051;1
86135.1915;440926.9489;1
86195.2284;440736.728;1
86221.6014;440639.7844;1
86282.0209;440448.7205;1
86376.7686;440163.283;1
86434.7864;439979.779;1
86475.1411;439852.4582;1
86497.5751;439781.6727;1
86558.2043;439591.2275;1
86619.5088;439398.2563;1
86704.5108;439117.8925;1
86766.4592;438923.2419;1
86826.9304;438735.1897;1
86886.6835;438545.6464;1
86947.6472;438352.355;1
85166.582;443981.213;2
86152.11;440859.149;2
86433.84;439982.755;2
85920.043;441592.745;2
86156.074;440860.207;2
85924.034;441594.059;2
86431.103;439978.033;2
86673.5;439228.656;2
86822.062;438762.104;2
85705.53;442272.246;2
86669.538;439227.487;2
86818.126;438760.826;2
85170.479;443982.062;2
85709.546;442273.366;2
86437.75;439970.4;2
86433.362;439970.9;2
86433.001;439972.02;2
86437.398;439971.55;2
86437.027;439972.73;2
86433.707;439969.75;2
86434.087;439968.61;2
85911.88;441618.59;2
86436.681;439973.87;2
87007.71;438185.27;2
