x,y
85256.9332,443694.6428
85317.5736,443503.0223
85498.479,442928.8397
85559.0197,442736.6265
85712.1204,442265.2594
85739.3448,442165.0888
85773.6389,442070.5626
85799.5791,441974.0474
85833.7114,441879.5509
85893.8864,441688.9383
85954.2601,441498.3021
85980.0083,441403.1996
86014.4414,441308.0748
86041.828,441207.8571
86074.8646,441116.9051
86135.1915,440926.9489
86195.2284,440736.728
86221.6014,440639.7844
86282.0209,440448.7205
86376.7686,440163.283
86434.7864,439979.779
86475.1411,439852.4582
86497.5751,439781.6727
86558.2043,439591.2275
86619.5088,439398.2563
86704.5108,439117.8925
86766.4592,438923.2419
86826.9304,438735.1897
86886.6835,438545.6464
86947.6472,438352.355
