,x,z,IC
0,0,0,2.8212919990403775
1,0,1,2.785051800435737
2,0,2,2.718260921398472
3,0,3,2.654865947348061
4,0,4,2.6601396835514963
5,0,5,3.4321562827291734
6,0,6,3.468239037240057
7,0,7,3.4909468186654293
8,0,8,3.446537359337195
9,0,9,3.3336160869438545
10,0,10,3.237734304353618
11,0,11,3.205329490367392
12,0,12,3.194292967782628
13,0,13,3.1963848689723338
14,0,14,3.264064051289825
15,0,15,3.371775444926225
16,0,16,3.7707687112522943
17,0,17,3.7085440968407317
18,0,18,1.5852169487467824
19,0,19,1.7277580107119686
20,0,20,1.7121479355083302
21,0,21,1.565787690295017
22,0,22,1.62808611073301
23,0,23,1.6538315558665122
24,0,24,1.6999225185362423
25,0,25,1.642097027283015
26,0,26,1.5435783105214214
27,0,27,1.6840133118013387
28,0,28,1.737569582878775
29,0,29,1.6630365549284416
30,0,30,1.8152502001845274
31,0,31,1.638953852250128
32,1,0,2.825217947501071
33,1,1,2.786201400927377
34,1,2,2.7186155415060953
35,1,3,2.6578708951650047
36,1,4,2.6662897228573126
37,1,5,3.431869599753534
38,1,6,3.4658986554061753
39,1,7,3.4873474663346924
40,1,8,3.445176361344475
41,1,9,3.3339650812125474
42,1,10,3.236686454655443
43,1,11,3.204232782463365
44,1,12,3.196325801817042
45,1,13,3.19905439305455
46,1,14,3.2629522290438593
47,1,15,3.368782918363995
48,1,16,3.766465331518446
49,1,17,3.702743562652653
50,1,18,1.5749675501324738
51,1,19,1.7293679505502617
52,1,20,1.7124848082184345
53,1,21,1.5691939588838728
54,1,22,1.6154274294223296
55,1,23,1.6483058641243287
56,1,24,1.695130968115118
57,1,25,1.644251519196383
58,1,26,1.5415864408010975
59,1,27,1.681135127619716
60,1,28,1.7512834127639123
61,1,29,1.6607606169752733
62,1,30,1.8143898835233534
63,1,31,1.6401631403364485
64,2,0,2.8287271930258573
65,2,1,2.7876254762604593
66,2,2,2.7196807997432315
67,2,3,2.6623820227552843
68,2,4,2.6739412156124542
69,2,5,3.431561185874354
70,2,6,3.463698665295005
71,2,7,3.4837403675346796
72,2,8,3.4436648080740184
73,2,9,3.334318624928269
74,2,10,3.2357365073440767
75,2,11,3.203009110344035
76,2,12,3.1981415367004584
77,2,13,3.201815583564219
78,2,14,3.26212616554007
79,2,15,3.3658466678471104
80,2,16,3.762111549869141
81,2,17,3.6971407471982682
82,2,18,1.5650499767403474
83,2,19,1.730329689949101
84,2,20,1.7125743271300737
85,2,21,1.5737557439384906
86,2,22,1.6027185183231394
87,2,23,1.642839528003176
88,2,24,1.690111761628512
89,2,25,1.6472303951394807
90,2,26,1.5395168007458626
91,2,27,1.6770009423084742
92,2,28,1.7645681099208532
93,2,29,1.6595607614601247
94,2,30,1.813129183589655
95,2,31,1.6429516685207315
96,3,0,2.8318178030952836
97,3,1,2.7893809329684864
98,3,2,2.7214648347153587
99,3,3,2.668260682247438
100,3,4,2.6828863222856296
101,3,5,3.431214917852765
102,3,6,3.4616378041648703
103,3,7,3.4801407470626606
104,3,8,3.442005583987893
105,3,9,3.3346673993313667
106,3,10,3.234892216823218
107,3,11,3.2016764150544477
108,3,12,3.199732284603568
109,3,13,3.2046421994985317
110,3,14,3.2615823481366335
111,3,15,3.3629855307317866
112,3,16,3.7578050098360563
113,3,17,3.691715507924785
114,3,18,1.5555925344726056
115,3,19,1.7305707639465207
116,3,20,1.712385401478821
117,3,21,1.5794110136333614
118,3,22,1.590122875076112
119,3,23,1.63744987260659
120,3,24,1.6848359962389536
121,3,25,1.6510297960811302
122,3,26,1.537468267708296
123,3,27,1.671622999760015
124,3,28,1.7772427650052431
125,3,29,1.6594287594732517
126,3,30,1.8115022287071847
127,3,31,1.6472929273841903
128,4,0,2.834478805582735
129,4,1,2.7914917434292366
130,4,2,2.723948187537596
131,4,3,2.6753195346478087
132,4,4,2.692868020323532
133,4,5,3.4308147084690597
134,4,6,3.4597132697543453
135,4,7,3.4765634727938766
136,4,8,3.4402027151509063
137,4,9,3.335001933544286
138,4,10,3.234159987716488
139,4,11,3.200253289092695
140,4,12,3.2010924310477225
141,4,13,3.2075081082832826
142,4,14,3.261315174342564
143,4,15,3.360217628442168
144,4,16,3.753660375174858
145,4,17,3.686463934990296
146,4,18,1.5467210050789375
147,4,19,1.7300332607652575
148,4,20,1.711885063720828
149,4,21,1.586077317279012
150,4,22,1.577807363031676
151,4,23,1.6321513906178713
152,4,24,1.6792913698666547
153,4,25,1.6556233176028425
154,4,26,1.5355499440809477
155,4,27,1.665028555923798
156,4,28,1.7891335420515229
157,4,29,1.6603353449495257
158,4,30,1.8095479375474468
159,4,31,1.6531387172885201
160,5,0,2.836690089783097
161,5,1,2.7939470555146912
162,5,2,2.7270854507920976
163,5,3,2.6833334226386003
164,5,4,2.7035945926157487
165,5,5,3.4303446568240163
166,5,6,3.457920746794452
167,5,7,3.473022919713136
168,5,8,3.4382613419673067
169,5,9,3.335312720176708
170,5,10,3.2335448424938735
171,5,11,3.198758793504301
172,5,12,3.2022186421189245
173,5,13,3.2103874966529586
174,5,14,3.2613170096344923
175,5,15,3.357560216509495
176,5,16,3.7498039013668976
177,5,17,3.6813998717833205
178,5,18,1.5385557838725514
179,5,19,1.7286760190967783
180,5,20,1.71103926313359
181,5,21,1.5936525821250345
182,5,22,1.5659397562712036
183,5,23,1.6269549842933688
184,5,24,1.6734824497073066
185,5,25,1.6609632278038409
186,5,26,1.5338783668542115
187,5,27,1.6572604230563739
188,5,28,1.8000764692585938
189,5,29,1.6622311341595926
190,5,30,1.807308531481968
191,5,31,1.6604204653356054
192,6,0,2.838423065744481
193,6,1,2.7967011180493735
194,6,2,2.7308076984967578
195,6,3,2.6920512634952916
196,6,4,2.7147549785256313
197,6,5,3.429789198035003
198,6,6,3.456254448058391
199,6,7,3.4695328379002954
200,6,8,3.4361876796928383
201,6,9,3.3355903299724567
202,6,10,3.2330504035622307
203,6,11,3.1972122741897877
204,6,12,3.2031098522748214
205,6,13,3.2132550773137276
206,6,14,3.261578262404672
207,6,15,3.3550295421401084
208,6,16,3.7463676494945544
209,6,17,3.676555515191942
210,6,18,1.5312090401568414
211,6,19,1.726476392484599
212,6,20,1.709813858748497
213,6,21,1.6020163103939815
214,6,22,1.5546861213282095
215,6,23,1.6218675296162308
216,6,24,1.6674302610342917
217,6,25,1.6669822524512614
218,6,26,1.5325744746329304
219,6,27,1.648377256106844
220,6,28,1.8099200132383066
221,6,29,1.6650480601283313
222,6,30,1.8048278617582643
223,6,31,1.6690509781326608
224,7,0,2.839642013690006
225,7,1,2.7996749842945285
226,7,2,2.735025527056706
227,7,3,2.701208247945405
228,7,4,2.7260339275773995
229,7,5,3.4291332509412635
230,7,6,3.454707169634131
231,7,7,3.4661062258155813
232,7,8,3.4339889671043293
233,7,9,3.3358255242221477
234,7,10,3.2326788897110346
235,7,11,3.1956331790865877
236,7,12,3.203767233054165
237,7,13,3.2160862896312206
238,7,14,3.2620874753330593
239,7,15,3.352640710585425
240,7,16,3.743483643943776
241,7,17,3.671981098293497
242,7,18,1.5247819952284054
243,7,19,1.7234315136336886
244,7,20,1.7081757792931247
245,7,21,1.6110311845631167
246,7,22,1.5442080649438965
247,7,23,1.6168917796120768
248,7,24,1.6611712356948751
249,7,25,1.6735958491855043
250,7,26,1.5317604194186312
251,7,27,1.6384535647267646
252,7,28,1.8185273812118652
253,7,29,1.6687012890387993
254,7,30,1.8021496109593966
255,7,31,1.6789265591821596
256,8,0,2.8403060250299164
257,8,1,2.8027598741394573
258,8,2,2.7396325386168545
259,8,3,2.7105376862339727
260,8,4,2.7371260034290086
261,8,5,3.4283623624477872
262,8,6,3.4532703599659818
263,8,7,3.4627552101841403
264,8,8,3.431673403836864
265,8,9,3.3360093637013186
266,8,10,3.232431126662817
267,8,11,3.194040877854861
268,8,12,3.204194143164221
269,8,13,3.2188574926479823
270,8,14,3.262831432331783
271,8,15,3.3504075615045217
272,8,16,3.7412782611662427
273,8,17,3.667743697102104
274,8,18,1.5193624110679465
275,8,19,1.719559007220164
276,8,20,1.7060943089164797
277,8,21,1.6205450788390239
278,8,22,1.5346598870125439
279,8,23,1.612026606432571
280,8,24,1.6547555820022635
281,8,25,1.6807048807963116
282,8,26,1.5315563123876865
283,8,27,1.6275794411420865
284,8,28,1.8257785037611638
285,8,29,1.6730915694086124
286,8,30,1.7993154368436237
287,8,31,1.6899294097166146
288,9,0,2.8403714106870668
289,9,1,2.8058220025614107
290,9,2,2.744509107350561
291,9,3,2.719781932365934
292,9,4,2.7477476599687605
293,9,5,3.4274628471653816
294,9,6,3.4519342020760995
295,9,7,3.4594909337193362
296,9,8,3.4292500770211576
297,9,9,3.336133312942542
298,9,10,3.2323065713402848
299,9,11,3.192454485650273
300,9,12,3.204396060581821
301,9,13,3.221546148813292
302,9,14,3.2637952800740564
303,9,15,3.3483425564167035
304,9,16,3.739867107490293
305,9,17,3.66392523743426
306,9,18,1.515022377516093
307,9,19,1.7148971173818697
308,9,20,1.7035424501946659
309,9,21,1.6303934634686774
310,9,22,1.526185687520932
311,9,23,1.6072675648106798
312,9,24,1.6482451570847823
313,9,25,1.6881985892978368
314,9,26,1.5320769922499602
315,9,27,1.6158600008838762
316,9,28,1.8315716603745207
317,9,29,1.678107949761797
318,9,30,1.7963631327137979
319,9,31,1.7019302251464539
320,10,0,2.8397944320587527
321,10,1,2.808708620137627
322,10,2,2.7495262837436307
323,10,3,2.7287019311629637
324,10,4,2.757646833078712
325,10,5,3.4264219210457756
326,10,6,3.450687708246959
327,10,7,3.4563234518516883
328,10,8,3.426728877969832
329,10,9,3.3361893387111263
330,10,10,3.232303349330394
331,10,11,3.1908926925060115
332,10,12,3.2043804974566963
333,10,13,3.2241309969000205
334,10,14,3.264962662992939
335,10,15,3.346456678238378
336,10,16,3.73935060209518
337,10,17,3.6606198065547213
338,10,18,1.5118164770403582
339,10,19,1.709504234915947
340,10,20,1.7004983105828189
341,10,21,1.6404021763638128
342,10,22,1.5189164852360602
343,10,23,1.6026077436120185
344,10,24,1.6417109385622137
345,10,25,1.6959577678684061
346,10,26,1.5334289017158194
347,10,27,1.603414539941402
348,10,28,1.8358247208180904
349,10,29,1.6836307872630156
350,10,30,1.7933248815891851
351,10,31,1.7147908961611507
352,11,0,2.8385341958368366
353,11,1,2.8112549632850747
354,11,2,2.7545497097262546
355,11,3,2.7370850595781144
356,11,4,2.766609738598902
357,11,5,3.4252278277643367
358,11,6,3.449518826322596
359,11,7,3.453261639545695
360,11,8,3.424120409769487
361,11,9,3.3361700016268365
362,11,10,3.232418304900839
363,11,11,3.18937359977195
364,11,12,3.204156898750119
365,11,13,3.226592212688277
366,11,14,3.2663158705193256
367,11,15,3.344759343786666
368,11,16,3.7398104298012362
369,11,17,3.6579303961901504
370,11,18,1.5097803944475194
371,11,19,1.7034578286346744
372,11,20,1.6969464553252207
373,11,21,1.6503905239124277
374,11,22,1.5129674136245157
375,11,23,1.5980388581187006
376,11,24,1.6352302042072728
377,11,25,1.7038580266678829
378,11,26,1.535707152352579
379,11,27,1.5903754180997833
380,11,28,1.838475986916043
381,11,29,1.689534958879744
382,11,30,1.7902256814161546
383,11,31,1.7283672239545267
384,12,0,2.836555547011714
385,12,1,2.813291779124278
386,12,2,2.759443436729279
387,12,3,2.7447510632682928
388,12,4,2.7744648161621486
389,12,5,3.423869956668861
390,12,6,3.4484145566709987
391,12,7,3.4503131091909047
392,12,8,3.421435886734879
393,12,9,3.3360685399577092
394,12,10,3.2326470628077897
395,12,11,3.187914564971811
396,12,12,3.2037365256763506
397,12,13,3.228911556112791
398,12,14,3.2678359952242095
399,12,15,3.3432583300125223
400,12,16,3.7413069707709763
401,12,17,3.655965218329046
402,12,18,1.5089300245162836
403,12,19,1.6968528046609703
404,12,20,1.6928791690019636
405,12,21,1.660174660290261
406,12,22,1.5084350655017589
407,12,23,1.5935525239663026
408,12,24,1.628883535707674
409,12,25,1.7117730509613605
410,12,26,1.538992850945851
411,12,27,1.5768866839122566
412,12,28,1.8394846312022421
413,12,29,1.6956931785613598
414,12,30,1.787082015258154
415,12,31,1.7425115629292791
416,13,0,2.8338317954729453
417,13,1,2.8146530733569897
418,13,2,2.7640735579656086
419,13,3,2.751556012603647
420,13,4,2.7810839878897293
421,13,5,3.4223389511901696
422,13,6,3.447361078743638
423,13,7,3.4474841404474197
424,13,8,3.418687026770902
425,13,9,3.335878944705619
426,13,10,3.2329841010262936
427,13,11,3.1865320563404
428,13,12,3.203132325137887
429,13,13,3.2310725036991506
430,13,14,3.269503100438515
431,13,15,3.3419597145998896
432,13,16,3.743877754275405
433,13,17,3.654833742972749
434,13,18,1.5092611140526777
435,13,19,1.6897993360150039
436,13,20,1.688297569424295
437,13,21,1.6695711825740134
438,13,22,1.5053950617696286
439,13,23,1.5891416447819444
440,13,24,1.622751765629328
441,13,25,1.7195777556061373
442,13,26,1.5433507517059784
443,13,27,1.5631024618267417
444,13,28,1.8388307406675102
445,13,29,1.701979319045083
446,13,30,1.7839008338841664
447,13,31,1.757075311334288
448,14,0,2.830347121208054
449,14,1,2.815183729519535
450,14,2,2.7683115844825994
451,14,3,2.757394311845575
452,14,4,2.786381591591393
453,14,5,3.4206268066982295
454,14,6,3.446343886071791
455,14,7,3.4447796228106387
456,14,8,3.415885937766626
457,14,9,3.3355960252057004
458,14,10,3.233422833437592
459,14,11,3.1852415181935547
460,14,12,3.202358786456924
461,14,13,3.2330603652518386
462,14,14,3.2712963958453907
463,14,15,3.340867831435736
464,14,16,3.7475369250532435
465,14,17,3.6546426080613825
466,14,18,1.510749456918841
467,14,19,1.6824202220216864
468,14,20,1.6832125214413427
469,14,21,1.678400868013481
470,14,22,1.5038999209399546
471,14,23,1.5848018398851482
472,14,24,1.6169129852199728
473,14,25,1.7271512484424556
474,14,26,1.5488272886079215
475,14,27,1.5491851263675906
476,14,28,1.8365149850268667
477,14,29,1.7082716354755951
478,14,30,1.7806789085986443
479,14,31,1.7719111802403422
480,15,0,2.8260985213073977
481,15,1,2.8147466638964755
482,15,2,2.7720375112449562
483,15,3,2.7621988861591533
484,15,4,2.790311485926432
485,15,5,3.418726956885359
486,15,6,3.4453479284540443
487,15,7,3.442203011536507
488,15,8,3.4130449992124827
489,15,9,3.3352154645719647
490,15,10,3.2339557014215594
491,15,11,3.184057248164543
492,15,12,3.2014317868038726
493,15,13,3.234862383903242
494,15,14,3.2731944194754625
495,15,15,3.3399852413199915
496,15,16,3.752275656933003
497,15,17,3.6554915468954583
498,15,18,1.5133516418239445
499,15,19,1.6748478522798158
500,15,20,1.677645304243333
501,15,21,1.68649247044499
502,15,22,1.5039773046899343
503,15,23,1.5805328361166318
504,15,24,1.6114397249734778
505,15,25,1.7343795260277877
506,15,26,1.5554490311695586
507,15,27,1.5353032919312037
508,15,28,1.8325579391508615
509,15,29,1.714455790189701
510,15,30,1.777402599826133
511,15,31,1.786875183599472
512,16,0,2.821097188399324
513,16,1,2.8132292110225765
514,16,2,2.775142534491925
515,16,3,2.7659397408240785
516,16,4,2.7928629015483
517,16,5,3.4166343478647923
518,16,6,3.4443577600159605
519,16,7,3.4397562974381697
520,16,8,3.410176740286125
521,16,9,3.33473386443821
522,16,10,3.2345742732283207
523,16,11,3.1829922872135348
524,16,12,3.2003684268084354
525,16,13,3.236467818785994
526,16,14,3.2751752244856696
527,16,15,3.3393127181456403
528,16,16,3.7580634023035526
529,16,17,3.6574694684819806
530,16,18,1.5170063337916386
531,16,19,1.6672208626771425
532,16,20,1.6716279937079428
533,16,21,1.6936864854912628
534,16,22,1.5056287102890027
535,16,23,1.5763397490108275
536,16,24,1.606396410236993
