,x,z,IC
0,0,0,1.4719489239743113
1,0,1,1.4905540330243328
2,0,2,1.5108085006779235
3,0,3,1.5325661677818792
4,0,4,2.9425653946825188
5,0,5,2.9537147490269926
6,0,6,2.961938590556467
7,0,7,2.967002722230785
8,0,8,2.968765688737661
9,0,9,2.967183300855452
10,0,10,2.9623106080095245
11,0,11,2.95430127075157
12,0,12,2.943404355517293
13,0,13,2.9299586431920033
14,0,14,2.9143846088311443
15,0,15,2.8971742905733135
16,0,16,2.878879319757962
17,0,17,2.8600974301519555
18,0,18,2.841457800886876
19,0,19,2.82360561438069
20,0,20,2.807186226627448
21,0,21,2.792829352554315
22,0,22,1.9384483409060829
23,0,23,1.9459370852520805
24,0,24,1.9517728537979615
25,0,25,1.9561453468332126
26,0,26,1.9592774865887994
27,0,27,1.9614183362645492
28,0,28,1.962835175554558
29,0,29,1.9638050264435212
30,0,30,1.9646059440362398
31,0,31,1.5627189217456812
32,0,32,1.577728170792632
33,0,33,1.5914607398922473
34,0,34,1.6040617912953932
35,0,35,1.6156741067283193
36,0,36,1.6264327647210295
37,0,37,1.6364607420630746
38,0,38,1.64586553569951
39,0,39,1.6547368549917252
40,0,40,1.663145387979403
41,0,41,1.6711426009079835
42,0,42,1.678761489526454
43,0,43,1.6860181650237194
44,0,44,1.6929141282281672
45,0,45,1.6994390638280268
46,0,46,1.70557397254386
47,0,47,1.7112944537230546
48,0,48,1.7165739537068332
49,0,49,1.7213868061808
50,0,50,1.725710908879208
51,0,51,1.7295299055036826
52,0,52,1.7328347713298518
53,0,53,1.7356247343120519
54,0,54,1.7379074990299974
55,0,55,1.739698776960598
56,0,56,1.7410211617134992
57,0,57,1.7419024205183709
58,0,58,1.7423733020026875
59,0,59,1.7424649839436852
60,0,60,1.7422063022434942
61,0,61,1.7416209131599247
62,0,62,1.7407245444226307
63,0,64,1.7380074700078976
64,1,0,1.4855655534030943
65,1,1,1.5035191076116246
66,1,2,1.52310140306095
67,1,3,1.5441747373917871
68,1,4,1.5665827899898077
69,1,5,2.9747041690989575
70,1,6,2.9845190197019806
71,1,7,2.9910189552293955
72,1,8,2.994055679911574
73,1,9,2.993579054327238
74,1,10,2.989638977116076
75,1,11,2.9823846945338173
76,1,12,2.9720615642476087
77,1,13,2.9590053671900423
78,1,14,2.9436343252909762
79,1,15,2.926439041784651
80,1,16,2.9079706330229604
81,1,17,2.8888273650098735
82,1,18,2.869640143152258
83,1,19,2.8510572292163143
84,1,20,2.833728574691196
85,1,21,2.818290164489738
86,1,22,2.8053487592487514
87,1,23,1.952640915555879
88,1,24,1.9587123029257054
89,1,25,1.963313134031288
90,1,26,1.966655854022495
91,1,27,1.9689798692944012
92,1,28,1.9705438874644465
93,1,29,1.9716176638415799
94,1,30,1.9724734627018212
95,1,31,1.9733775509020548
96,1,32,1.5723417641170925
97,1,33,1.586722523621694
98,1,34,1.5999738633409393
99,1,35,1.612240549918473
100,1,36,1.6236595665571
101,1,37,1.6343556123382526
102,1,38,1.64443762903908
103,1,39,1.653996408411476
104,1,40,1.6631032862819959
105,1,41,1.6718098850457968
106,1,42,1.680148824869839
107,1,43,1.6881352877172442
108,1,44,1.6957692884447337
109,1,45,1.703038484713441
110,1,46,1.7099213429768054
111,1,47,1.716390471715297
112,1,48,1.7224159353768447
113,1,49,1.7279683728140522
114,1,50,1.7330217617236248
115,1,51,1.737555694740153
116,1,52,1.741557062220426
117,1,53,1.7450210699875384
118,1,54,1.7479515558648266
119,1,55,1.750360605127284
120,1,56,1.752267500438877
121,1,57,1.7536970748969654
122,1,58,1.7546775660632865
123,1,59,1.7552380930998055
124,1,60,1.7554058973519098
125,1,61,1.7552034982044673
126,1,62,1.7546459203477613
127,1,64,1.7524729324433537
128,2,0,1.5000231443446879
129,2,1,1.5172902697619293
130,2,2,1.5361644512265542
131,2,3,1.556516737467178
132,2,4,1.5782004289537186
133,2,5,2.9957575268968335
134,2,6,3.0071348028423714
135,2,7,3.015048266475964
136,2,8,3.019343119685425
137,2,9,3.0199635268403133
138,2,10,3.0169543936599306
139,2,11,3.010460602251234
140,2,12,3.000723733206745
141,2,13,2.9880763713328338
142,2,14,2.972934153760278
143,2,15,2.9557857762364117
144,2,16,2.937181223855131
145,2,17,2.917718535106567
146,2,18,2.89802944192558
147,2,19,2.878764252656045
148,2,20,2.8605763590731614
149,2,21,2.844106752649088
150,2,22,2.82996892921819
151,2,23,1.9596562263627442
152,2,24,1.9659707757256868
153,2,25,1.9708092202694774
154,2,26,1.9743730253860734
