,x,z,IC
0,1,1,1.3558723527541514
1,1,2,1.3630676090288665
2,1,3,1.369454538778729
3,1,4,1.3749983585486667
4,1,5,3.466042790664472
5,1,6,3.5001881048471084
6,1,7,3.536486710591292
7,1,8,3.575165021010418
8,1,9,3.616288525476672
9,1,10,3.6597488789581645
10,1,11,3.7052589177626007
11,1,12,3.752355927113661
12,1,13,3.800413114090191
13,1,14,3.848658868338198
14,1,15,3.896203039892165
15,1,16,3.9420691448293423
16,1,17,1.8345659850797964
17,1,18,1.8462931372117148
18,1,19,1.859933913396291
19,1,20,1.87538330664484
20,1,21,1.8925004800299714
21,1,22,1.911110170480776
22,1,23,1.9310048223213299
23,1,24,1.951947439847878
24,1,25,1.9736751306991451
25,1,26,1.9959032939650247
26,1,27,2.018330389415067
27,1,28,2.04064320743711
28,1,29,2.062522543782987
29,1,30,2.083649169527126
30,1,31,2.1037099752230133
31,1,32,2.1224041595067717
32,1,33,2.1394493266940877
33,1,34,2.154587355513928
34,1,35,2.1675899021971694
35,1,36,2.178263405769995
36,1,37,2.186453471568032
37,1,38,2.192048520561556
38,1,39,2.1949826068368643
39,1,40,2.195237323189828
40,1,41,2.1928427348420456
41,1,42,2.1878773032978587
42,1,43,2.1804667857677673
43,1,44,3.4078083683537352
44,1,45,3.399436896480934
45,1,46,3.3958527539527275
46,1,47,3.396477337305758
47,1,48,3.4006292057457905
48,1,49,3.407551402278984
49,1,50,3.41643953164801
50,1,51,3.4264694959843855
51,1,52,3.436823887945927
52,1,53,3.446716179836658
53,1,54,3.4554120163919504
54,1,55,3.462247107978488
55,1,56,3.466641418781382
56,1,57,3.4681095400790873
57,1,58,3.4662673215700694
58,1,59,3.4608349947723136
59,1,60,3.4516371543240694
60,1,61,3.4386000601853093
61,1,62,3.421746783180521
62,1,63,3.401190737332855
63,1,64,3.3771281266674515
64,2,1,1.3662885781531222
65,2,2,1.3739249682463932
66,2,3,1.3807898411509842
67,2,4,1.3868340625697235
68,2,5,1.3920315848811131
69,2,6,3.514357953842344
70,2,7,3.549492015068292
71,2,8,3.5868434164299563
72,2,9,3.6264997146648263
73,2,10,3.6683776633578593
74,2,11,3.712217710058228
75,2,12,3.7575866745214666
76,2,13,3.8038885668734483
77,2,14,3.850383135937533
78,2,15,3.8962113878977576
79,2,16,3.9404270001451467
80,2,17,1.8356569380996532
81,2,18,1.8470913042591697
82,2,19,1.8603945914505302
83,2,20,1.8754628116477012
84,2,21,1.8921571616023956
85,2,22,1.9103053365071228
86,2,23,1.9297035497364532
87,2,24,1.9501192533204597
88,2,25,1.9712945366820207
89,2,26,1.992950163542939
90,2,27,2.0147901892856908
91,2,28,2.0365070839840773
92,2,29,2.0577872703291353
93,2,30,2.0783169713056457
94,2,31,2.0977882502191556
95,2,32,2.115905115985167
96,2,33,2.132389559859757
97,2,34,2.1469873863248954
98,2,35,2.159473700863526
99,2,36,2.1696579209913596
100,2,37,2.1773881841720706
101,2,38,2.182555037040027
102,2,39,2.1850943044925644
103,2,40,2.1849890543918815
104,2,41,2.182270593438361
105,2,42,2.1770184517608455
106,2,43,2.1693593373607007
107,2,44,2.1594650661343104
108,2,45,3.3822493608474584
109,2,46,3.3771713310411613
110,2,47,3.3763354266339354
111,2,48,3.379111254661593
112,2,49,3.3847933735590616
113,2,50,3.392627553088224
114,2,51,3.4018366898243326
115,2,52,3.411645446792731
116,2,53,3.421302823326239
117,2,54,3.430102026337511
118,2,55,3.4373971965235914
119,2,56,3.44261673166736
120,2,57,3.4452731334854545
121,2,58,3.4449694744832895
122,2,59,3.441402728409391
123,2,60,3.434364325297241
124,2,61,3.4237383749696857
125,2,62,3.409498048774962
126,2,63,3.391700618102151
127,2,64,3.3704816220591893
128,3,1,1.3765706982941608
129,3,2,1.384638254190873
130,3,3,1.3919702251036934
131,3,4,1.3985034643896006
132,3,5,1.4041954368376832
133,3,6,3.5269660387698885
134,3,7,3.560907035808413
135,3,8,3.5969033513924247
136,3,9,3.635064439240426
137,3,10,3.6753322191483235
138,3,11,3.7174750711679465
139,3,12,3.7610899280811085
140,3,13,3.8056124298706084
141,3,14,3.8503347384276436
142,3,15,3.8944302641938293
143,3,16,3.936984244890969
144,3,17,1.837031139371246
145,3,18,1.8481993673332482
146,3,19,1.861187637414659
147,3,20,1.8758927008877881
148,3,21,1.8921776420211787
149,3,22,1.9098731057723497
150,3,23,1.9287792040069485
151,3,24,1.9486681002163475
152,3,25,1.9692872561177004
153,3,26,1.990363306190078
154,3,27,2.0116065086365844
155,3,28,2.032715704006647
156,3,29,2.05338369632079
157,3,30,2.073302956563736
158,3,31,2.0921715353793484
159,3,32,2.1096990611997635
160,3,33,2.1256126922991516
161,3,34,2.1396628867334906
162,3,35,2.151628853076556
163,3,36,2.161323547455169
164,3,37,2.168598088682764
165,3,38,2.1733454732372444
166,3,39,2.1755034852627295
167,3,40,2.1750567134210663
168,3,41,2.172037605901176
169,3,42,2.16652651674182
170,3,43,2.158650720285029
171,3,44,2.1485823954368706
172,3,45,3.3662541661349206
173,3,46,3.3596761378804145
174,3,47,3.3573524370925796
175,3,48,3.3587047678375854
176,3,49,3.3630806464892835
177,3,50,3.369777805078399
178,3,51,3.3780682403359155
179,3,52,3.3872210472348114
180,3,53,3.3965233121557965
181,3,54,3.405298501912254
182,3,55,3.4129219604537364
183,3,56,3.418833304507511
184,3,57,3.4225456823953877
185,3,58,3.4236520173321763
186,3,59,3.421828489608351
187,3,60,3.4168356149192443
188,3,61,3.408517344570283
189,3,62,3.3967986454923818
190,3,63,3.381682014403019
191,3,64,3.3632433437421287
192,4,1,1.3866487760849326
193,4,2,1.3951362566621972
194,4,3,1.4029231783300218
195,4,4,1.4099327629117955
196,4,5,1.4161063374603629
197,4,6,3.5379639169760675
198,4,7,3.5706878329313168
199,4,8,3.605306218966022
200,4,9,3.641950150146805
201,4,10,3.680586659514556
202,4,11,3.7210122484163746
203,4,12,3.76285440054442
204,4,13,3.8055810678249937
205,4,14,3.848517734450965
206,4,15,3.89087132285175
207,4,16,3.9317598981202426
208,4,17,1.8387223101143675
209,4,18,1.8496517467429587
210,4,19,1.8623480449234835
211,4,20,1.8767084409850256
212,4,21,1.8925977876666864
213,4,22,1.9098496995554712
214,4,23,1.9282683455822571
215,4,24,1.9476308938272964
216,4,25,1.9676905979497537
217,4,26,1.9881804976369744
218,4,27,2.0088176880702453
219,4,28,2.029308096067811
220,4,29,2.049351683859397
221,4,30,2.0686479859405504
222,4,31,2.086901870705121
223,4,32,2.1038294070806316
224,4,33,2.119163707660873
225,4,34,2.132660614238074
226,4,35,2.144104089492775
227,4,36,2.1533111801132834
228,4,37,2.1601364218901726
229,4,38,2.1644755663523036
230,4,39,2.166268521150072
231,4,40,2.165501412404452
232,4,41,2.1622076962725187
233,4,42,2.1564682685756407
234,4,43,2.1484105449508615
235,4,44,2.1382065090008977
236,4,45,3.35159920573906
237,4,46,3.34352426315464
238,4,47,3.3396944641714263
239,4,48,3.339584462814387
240,4,49,3.3425959797498317
241,4,50,3.3480803164228923
242,4,51,3.355360497229065
243,4,52,3.3637522499333827
244,4,53,3.3725831698152455
245,4,54,3.3812095701733527
